Flight No.,FlightNumber,Date,Time,Launchoutcome,Outcome,BoosterVersion,Version Booster,Launch site,LaunchSite,Longitude,Latitude,Payload,PayloadMass,Orbit,Customer,Serial,Flights,GridFins,Reused,Legs,Block,ReusedCount,Booster landing,LandingPad
21,21,2015-03-02T03:50:00.000Z,03:50:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,"ABS-3A, Eutelsat 115 West B",4159.0,GTO,"ABS, Eutelsat",B1014,,False,False,False,,,No Attempt,
22,22,2015-04-14T20:10:00.000Z,20:10:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,CRS-6,1898.0,ISS,NASA (CRS),B1015,,True,False,True,,,Failure,Just Read The Instructions V1
23,23,2015-04-27T23:03:00.000Z,23:03:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,TürkmenÄlem 52°E / MonacoSAT,4707.0,GTO,Turkmenistan National Space Agency,B1016,,False,False,False,,,No Attempt,
24,24,2015-06-28T14:21:00.000Z,14:21:00,False,False,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,CRS-7,2477.0,ISS,NASA (CRS),B1018,,True,False,True,,,Failure,Of Course I Still Love You
25,25,2015-12-22T01:29:00.000Z,01:29:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,Orbcomm-OG2-M2,2034.0,LEO,Orbcomm,B1019,,True,False,True,,,Success,Landing Zone 1
26,26,2016-01-17T15:42:00.000Z,15:42:00,True,True,Falcon 9,Falcon 9,Vandenberg Space Force Base Space Launch Complex 4E,Vandenberg Space Force Base Space Launch Complex 4E,-120.610829,34.632093,Jason-3,553.0,PO,"NASA, NOAA",B1017,,True,False,True,,,Failure,Just Read The Instructions
27,27,2016-03-04T23:35:00.000Z,23:35:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,SES-9,5271.0,GTO,SES,B1020,,True,False,True,,,Failure,Of Course I Still Love You
28,28,2016-04-08T20:43:00.000Z,20:43:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,CRS-8,3136.0,ISS,NASA (CRS),B1021,,True,False,True,,,Success,Of Course I Still Love You
29,29,2016-05-06T05:21:00.000Z,05:21:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,JCSAT-2B,4696.0,GTO,SKY Perfect JSAT Group,B1022,,True,False,True,,,Success,Of Course I Still Love You
30,30,2016-05-27T21:39:00.000Z,21:39:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,Thaicom 8,3100.0,GTO,Thaicom,B1023,,True,False,True,,,Success,Of Course I Still Love You
31,31,2016-06-15T14:29:00.000Z,14:29:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,"ABS-2A, Eutelsat 117 West B",3600.0,GTO,"ABS, Eutelsat",B1024,,True,False,True,,,Failure,Of Course I Still Love You
32,32,2016-07-18T04:45:00.000Z,04:45:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,CRS-9,2257.0,ISS,NASA (CRS),B1025,,True,False,True,,,Success,Landing Zone 1
33,33,2016-08-14T05:26:00.000Z,05:26:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,JCSAT-16,4600.0,GTO,SKY Perfect JCSAT Group,B1026,,True,False,True,,,Success,Of Course I Still Love You
34,34,2016-09-01T13:07:00.000Z,13:07:00,False,False,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,Amos-6,5500.0,GTO,Spacecom,B1028,,True,False,True,,,Failure,Of Course I Still Love You
35,35,2017-01-14T17:54:00.000Z,17:54:00,True,True,Falcon 9,Falcon 9,Vandenberg Space Force Base Space Launch Complex 4E,Vandenberg Space Force Base Space Launch Complex 4E,-120.610829,34.632093,Iridium NEXT 1,9600.0,PO,Iridium Communications,B1029,,True,False,True,,,Success,Just Read The Instructions
36,36,2017-02-19T14:39:00.000Z,14:39:00,True,True,Falcon 9,Falcon 9,Kennedy Space Center Historic Launch Complex 39A,Kennedy Space Center Historic Launch Complex 39A,-80.6039558,28.6080585,CRS-10,2490.0,ISS,NASA (CRS),B1031,,True,False,True,,,Success,Landing Zone 1
37,37,2017-03-16T06:00:00.000Z,06:00:00,True,True,Falcon 9,Falcon 9,Kennedy Space Center Historic Launch Complex 39A,Kennedy Space Center Historic Launch Complex 39A,-80.6039558,28.6080585,EchoStar 23,5600.0,GTO,EchoStar,B1030,,False,False,False,,,No Attempt,
38,38,2017-03-30T22:27:00.000Z,22:27:00,True,True,Falcon 9,Falcon 9,Kennedy Space Center Historic Launch Complex 39A,Kennedy Space Center Historic Launch Complex 39A,-80.6039558,28.6080585,SES-10,5300.0,GTO,SES,B1021,,True,True,True,,,Success,Of Course I Still Love You
39,39,2017-05-01T11:15:00.000Z,11:15:00,True,True,Falcon 9,Falcon 9,Kennedy Space Center Historic Launch Complex 39A,Kennedy Space Center Historic Launch Complex 39A,-80.6039558,28.6080585,NROL-76,,LEO,NRO,B1032,,True,False,True,,,Success,Landing Zone 1
40,40,2017-05-15T23:21:00.000Z,23:21:00,True,True,Falcon 9,Falcon 9,Kennedy Space Center Historic Launch Complex 39A,Kennedy Space Center Historic Launch Complex 39A,-80.6039558,28.6080585,Inmarsat-5 F4,6070.0,GTO,Inmarsat,B1034,,False,False,False,,,No Attempt,
41,41,2017-06-03T21:07:00.000Z,21:07:00,True,True,Falcon 9,Falcon 9,Kennedy Space Center Historic Launch Complex 39A,Kennedy Space Center Historic Launch Complex 39A,-80.6039558,28.6080585,CRS-11,2708.0,ISS,NASA (CRS),B1035,,True,False,True,,,Success,Landing Zone 1
42,42,2017-06-23T19:10:00.000Z,19:10:00,True,True,Falcon 9,Falcon 9,Kennedy Space Center Historic Launch Complex 39A,Kennedy Space Center Historic Launch Complex 39A,-80.6039558,28.6080585,BulgariaSat-1,3669.0,GTO,Bulgaria Sat,B1029,,True,True,True,,,Success,Of Course I Still Love You
43,43,2017-06-25T20:25:00.000Z,20:25:00,True,True,Falcon 9,Falcon 9,Vandenberg Space Force Base Space Launch Complex 4E,Vandenberg Space Force Base Space Launch Complex 4E,-120.610829,34.632093,Iridium NEXT 2,9600.0,PO,Iridium Communications,B1036,,True,False,True,,,Success,Just Read The Instructions
44,44,2017-07-05T23:35:00.000Z,23:35:00,True,True,Falcon 9,Falcon 9,Kennedy Space Center Historic Launch Complex 39A,Kennedy Space Center Historic Launch Complex 39A,-80.6039558,28.6080585,Intelsat 35e,6761.0,GTO,Intelsat,B1037,,False,False,False,,,No Attempt,
45,45,2017-08-14T16:31:00.000Z,16:31:00,True,True,Falcon 9,Falcon 9,Kennedy Space Center Historic Launch Complex 39A,Kennedy Space Center Historic Launch Complex 39A,-80.6039558,28.6080585,CRS-12,2910.0,ISS,NASA (CRS),B1039,,True,False,True,,,Success,Landing Zone 1
46,46,2017-08-24T18:50:00.000Z,18:50:00,True,True,Falcon 9,Falcon 9,Vandenberg Space Force Base Space Launch Complex 4E,Vandenberg Space Force Base Space Launch Complex 4E,-120.610829,34.632093,FormoSat-5,475.0,SSO,NSPO (Taiwan),B1038,,True,False,True,,,Success,Just Read The Instructions
47,47,2017-09-07T13:50:00.000Z,13:50:00,True,True,Falcon 9,Falcon 9,Kennedy Space Center Historic Launch Complex 39A,Kennedy Space Center Historic Launch Complex 39A,-80.6039558,28.6080585,X-37B OTV-5,4990.0,LEO,USAF,B1040,,True,False,True,,,Success,Landing Zone 1
48,48,2017-10-09T12:37:00.000Z,12:37:00,True,True,Falcon 9,Falcon 9,Vandenberg Space Force Base Space Launch Complex 4E,Vandenberg Space Force Base Space Launch Complex 4E,-120.610829,34.632093,Iridium NEXT 3,9600.0,PO,Iridium Communications,B1041,,True,False,True,,,Success,Just Read The Instructions
49,49,2017-10-11T22:53:00.000Z,22:53:00,True,True,Falcon 9,Falcon 9,Kennedy Space Center Historic Launch Complex 39A,Kennedy Space Center Historic Launch Complex 39A,-80.6039558,28.6080585,SES-11 / Echostar 105,5200.0,GTO,"Echostar, SES",B1031,,True,True,True,,,Success,Of Course I Still Love You
50,50,2017-10-30T19:34:00.000Z,19:34:00,True,True,Falcon 9,Falcon 9,Kennedy Space Center Historic Launch Complex 39A,Kennedy Space Center Historic Launch Complex 39A,-80.6039558,28.6080585,KoreaSat 5A,3700.0,GTO,KT Corporation,B1042,,True,False,True,,,Success,Of Course I Still Love You
51,51,2017-12-15T15:36:00.000Z,15:36:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,CRS-13,2205.0,ISS,NASA (CRS),B1035,,True,True,True,,,Success,Landing Zone 1
52,52,2017-12-23T01:27:23.000Z,01:27:23,True,True,Falcon 9,Falcon 9,Vandenberg Space Force Base Space Launch Complex 4E,Vandenberg Space Force Base Space Launch Complex 4E,-120.610829,34.632093,Iridium NEXT 4,9600.0,PO,Iridium Communications,B1036,,True,True,False,,,Success,
53,53,2018-01-08T01:00:00.000Z,01:00:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,ZUMA,,LEO,Northrop Grumman,B1043,,True,False,True,,,Success,Landing Zone 1
54,54,2018-01-31T21:25:00.000Z,21:25:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,GovSat-1,4230.0,GTO,GovSat,B1032,,True,True,True,,,Success,
55,55,2018-02-06T20:45:00.000Z,20:45:00,True,True,Falcon Heavy,Falcon Heavy,Kennedy Space Center Historic Launch Complex 39A,Kennedy Space Center Historic Launch Complex 39A,-80.6039558,28.6080585,Tesla Roadster,1350.0,HCO,SpaceX,B1033,,True,False,True,,,Failure,Of Course I Still Love You
56,56,2018-02-22T14:17:00.000Z,14:17:00,True,True,Falcon 9,Falcon 9,Vandenberg Space Force Base Space Launch Complex 4E,Vandenberg Space Force Base Space Launch Complex 4E,-120.610829,34.632093,"Paz, Tintin A & B",2150.0,SSO,"HisdeSAT, SpaceX",B1038,,True,True,False,,,No Attempt,
57,57,2018-03-06T05:33:00.000Z,05:33:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,Hispasat 30W-6,6092.0,GTO,Hispasat,B1044,,True,False,True,,,No Attempt,
58,58,2018-03-30T14:13:51.000Z,14:13:51,True,True,Falcon 9,Falcon 9,Vandenberg Space Force Base Space Launch Complex 4E,Vandenberg Space Force Base Space Launch Complex 4E,-120.610829,34.632093,Iridium NEXT 5,9600.0,PO,Iridium Communications,B1041,,True,True,True,,,No Attempt,
59,59,2018-04-02T20:30:41.000Z,20:30:41,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,CRS-14,2760.0,ISS,NASA (CRS),B1039,,True,True,True,,,No Attempt,
60,60,2018-04-18T22:51:00.000Z,22:51:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,TESS,350.0,HEO,NASA,B1045,,True,False,True,,,Success,Of Course I Still Love You
61,61,2018-05-11T20:14:00.000Z,20:14:00,True,True,Falcon 9,Falcon 9,Kennedy Space Center Historic Launch Complex 39A,Kennedy Space Center Historic Launch Complex 39A,-80.6039558,28.6080585,Bangabandhu-1,3750.0,GTO,Bangladesh Gov,B1046,,True,False,True,,,Success,Of Course I Still Love You
62,62,2018-05-22T19:47:58.000Z,19:47:58,True,True,Falcon 9,Falcon 9,Vandenberg Space Force Base Space Launch Complex 4E,Vandenberg Space Force Base Space Launch Complex 4E,-120.610829,34.632093,"Iridium NEXT 6, GRACE-FO 1-2",5460.0,PO,"DLR, Iridium Communications, NASA",B1043,,True,True,False,,,No Attempt,
63,63,2018-06-04T04:45:00.000Z,04:45:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,SES-12,5383.85,GTO,SES,B1040,,False,True,False,,,No Attempt,
64,64,2018-06-29T09:42:00.000Z,09:42:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,CRS-15,2410.0,ISS,NASA (CRS),B1045,,False,True,False,,,No Attempt,
65,65,2018-07-22T05:50:00.000Z,05:50:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,Telstar 19V,7076.0,GTO,Telesat,B1047,,True,False,True,,,Success,Of Course I Still Love You
66,66,2018-07-25T11:39:26.000Z,11:39:26,True,True,Falcon 9,Falcon 9,Vandenberg Space Force Base Space Launch Complex 4E,Vandenberg Space Force Base Space Launch Complex 4E,-120.610829,34.632093,Iridium NEXT 7,9600.0,PO,Iridium Communications,B1048,,True,False,True,,,Success,Just Read The Instructions
67,67,2018-08-07T05:18:00.000Z,05:18:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,Telkom-4,5800.0,GTO,Telkom,B1046,,True,True,True,,,Success,Of Course I Still Love You
68,68,2018-09-10T04:45:00.000Z,04:45:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,Telstar 18V,7060.0,GTO,Telesat,B1049,,True,False,True,,,Success,Of Course I Still Love You
69,69,2018-10-08T02:22:00.000Z,02:22:00,True,True,Falcon 9,Falcon 9,Vandenberg Space Force Base Space Launch Complex 4E,Vandenberg Space Force Base Space Launch Complex 4E,-120.610829,34.632093,SAOCOM 1A,2800.0,SSO,CONAE,B1048,,True,True,True,,,Success,Landing Zone 4
70,70,2018-11-15T20:46:00.000Z,20:46:00,True,True,Falcon 9,Falcon 9,Kennedy Space Center Historic Launch Complex 39A,Kennedy Space Center Historic Launch Complex 39A,-80.6039558,28.6080585,Es’hail 2,3000.0,GTO,Es’hailSat,B1047,,True,True,True,,,Success,Of Course I Still Love You
71,71,2018-12-03T18:34:00.000Z,18:34:00,True,True,Falcon 9,Falcon 9,Vandenberg Space Force Base Space Launch Complex 4E,Vandenberg Space Force Base Space Launch Complex 4E,-120.610829,34.632093,SSO-A,4000.0,SSO,"Spaceflight Industries, Inc",B1046,,True,True,True,,,Success,Just Read The Instructions
72,72,2018-12-05T18:16:00.000Z,18:16:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,CRS-16,2573.0,ISS,NASA (CRS),B1050,,True,False,True,,,Failure,Landing Zone 1
73,73,2018-12-23T13:51:00.000Z,13:51:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,GPS III SV01,4400.0,MEO,USAF,B1054,,False,False,False,,,No Attempt,
74,74,2019-01-11T15:31:00.000Z,15:31:00,True,True,Falcon 9,Falcon 9,Vandenberg Space Force Base Space Launch Complex 4E,Vandenberg Space Force Base Space Launch Complex 4E,-120.610829,34.632093,Iridium NEXT 8,9600.0,PO,Iridium Communications,B1049,,True,True,True,,,Success,Just Read The Instructions
75,75,2019-02-22T01:45:00.000Z,01:45:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,"Nusantara Satu (PSN-6), S5, Beresheet",5645.0,GTO,"Air Force Research Laboratory, Pasifik Satelit Nusantara, SpaceIL",B1048,,True,True,True,,,Success,Of Course I Still Love You
76,76,2019-03-02T07:45:00.000Z,07:45:00,True,True,Falcon 9,Falcon 9,Kennedy Space Center Historic Launch Complex 39A,Kennedy Space Center Historic Launch Complex 39A,-80.6039558,28.6080585,CCtCap Demo Mission 1,12259.0,ISS,NASA (CCtCap),B1051,,True,False,True,,,Success,Of Course I Still Love You
77,77,2019-04-11T22:35:00.000Z,22:35:00,True,True,Falcon Heavy,Falcon Heavy,Kennedy Space Center Historic Launch Complex 39A,Kennedy Space Center Historic Launch Complex 39A,-80.6039558,28.6080585,ArabSat 6A,6000.0,GTO,Arabsat,B1055,,True,False,True,,,Success,Of Course I Still Love You
78,78,2019-05-04T06:48:00.000Z,06:48:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,CRS-17,2482.0,ISS,NASA (CRS),B1056,,True,False,True,,,Success,Of Course I Still Love You
79,79,2019-05-24T02:30:00.000Z,02:30:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,Starlink v0.9,13200.0,VLEO,SpaceX,B1049,,True,True,True,,,Success,Of Course I Still Love You
80,80,2019-06-12T14:17:00.000Z,14:17:00,True,True,Falcon 9,Falcon 9,Vandenberg Space Force Base Space Launch Complex 4E,Vandenberg Space Force Base Space Launch Complex 4E,-120.610829,34.632093,RADARSAT Constellation,1425.0,SSO,CSA,B1051,,True,True,True,,,Success,Landing Zone 4
81,81,2019-06-25T03:30:00.000Z,03:30:00,True,True,Falcon Heavy,Falcon Heavy,Kennedy Space Center Historic Launch Complex 39A,Kennedy Space Center Historic Launch Complex 39A,-80.6039558,28.6080585,"DSX, COSMIC-2, GPIM, Oculus-ASR, OTB 1, NPSAT 1, Prox-1, LightSail-B, ARMADILLO, FalconSat 7, E-TBEx A & B, PSat 2, BRICSat 2, TEPCE 1 & 2, CP9, StangSat",2838.0,"LEO, MEO","Cal Poly, General Atomics, Georgia Tech, Merrit Island HS, Michigan Tech, NASA, NOAA, Naval Postgrad School, Naval Research Lab, Planetary Society, SRI International, Taiwan, US Naval Academy, USAF, USAF Academy, University of Texas",B1057,,True,False,True,,,Failure,Of Course I Still Love You
82,82,2019-07-25T22:01:00.000Z,22:01:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,CRS-18,2227.7,ISS,NASA (CRS),B1056,,True,True,True,,,Success,Landing Zone 1
83,83,2019-08-06T22:52:00.000Z,22:52:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,Amos-17,6500.0,GTO,Spacecom,B1047,,False,True,False,,,No Attempt,
84,84,2019-11-11T14:56:00.000Z,14:56:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,Starlink-1,15600.0,VLEO,SpaceX,B1048,,True,True,True,,,Success,Of Course I Still Love You
85,85,2019-12-05T17:29:23.000Z,17:29:23,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,CRS-19,5000.0,ISS,NASA (CRS),B1059,,True,False,True,,,Success,Of Course I Still Love You
86,86,2019-12-17T00:10:00.000Z,00:10:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,JCSat 18 / Kacific 1,6800.0,GTO,"Kacific Broadband Satellites Pte Ltd, SKY Perfect JSAT Corporation",B1056,,True,True,True,,,Success,Of Course I Still Love You
87,87,2020-01-07T02:19:00.000Z,02:19:00,True,True,Falcon 9,Falcon 9,Cape Canaveral Space Force Station Space Launch Complex 40,Cape Canaveral Space Force Station Space Launch Complex 40,-80.577366,28.5618571,Starlink-2,15600.0,VLEO,SpaceX,B1049,,True,True,True,,,Success,Of Course I Still Love You
